Time,R,G,G/R,dG/R,dG/R
ms,AFU,AFU,%,%,%
LineScan-03312014-1456-682,,,,,filtered
0,2658.4,372,13.993,-9.31,,
2.262,1900,661.6,34.821,11.518,,
4.525,2165.4,491.6,22.703,-0.6,,
6.787,2318.4,671.6,28.968,5.665,,
9.05,2322,674,29.027,5.724,,
11.312,2752.4,487.2,17.701,-5.602,,
13.575,2237.4,390.8,17.467,-5.836,,
15.837,2273.6,699.4,30.762,7.459,,
18.1,2325.6,501.2,21.551,-1.752,,
20.362,2107.4,465,22.065,-1.238,,
22.624,2187.8,381.2,17.424,-5.879,,
24.887,2192,586.4,26.752,3.449,,
27.149,2322.6,556.8,23.973,0.67,,
29.412,2510.4,268.8,10.707,-12.595,,
31.674,2183.6,333,15.25,-8.053,,
33.937,2012.2,460.2,22.87,-0.432,,
36.199,1790.6,597.4,33.363,10.06,,
38.461,2369,480,20.262,-3.041,,
40.724,2422.2,507.2,20.94,-2.363,,
42.986,2283.2,363,15.899,-7.404,,
45.249,2356.6,482.2,20.462,-2.841,,
47.511,2208.6,513.4,23.245,-0.057,,
49.774,2377.4,687.4,28.914,5.611,,
52.036,2385.8,397.2,16.649,-6.654,,
54.299,2296,478,20.819,-2.484,,
56.561,2467.6,471.6,19.112,-4.191,,
58.823,2491,400.4,16.074,-7.229,,
61.086,2196.4,415.8,18.931,-4.372,,
63.348,2449,505.2,20.629,-2.674,,
65.611,2101.4,489.4,23.289,-0.014,,
67.873,2361.4,834.2,35.327,12.024,,
70.136,2248.8,439.4,19.539,-3.764,,
72.398,1929,438,22.706,-0.597,,
74.661,2343,518.4,22.125,-1.177,,
76.923,2190.2,488.4,22.299,-1.004,,
79.185,2025.6,705.8,34.844,11.541,,
81.448,2217.8,252.8,11.399,-11.904,,
83.71,2502.2,507,20.262,-3.041,,
85.973,2200.4,681.2,30.958,7.655,,
88.235,2186.6,517.8,23.681,0.378,,
90.498,2717.6,570.8,21.004,-2.299,,
92.76,2164.4,463,21.392,-1.911,,
95.022,2295.4,677.2,29.502,6.2,,
97.285,2541.4,515.2,20.272,-3.031,,
99.547,2297,598.6,26.06,2.757,,
101.81,2407.8,456,18.938,-4.364,,
104.072,2592,734.8,28.349,5.046,,
106.335,2422.8,402,16.592,-6.711,-1.266,
108.597,2211,508.2,22.985,-0.318,-0.784,
110.86,2361.8,483.2,20.459,-2.844,-0.936,
113.122,2173,616,28.348,5.045,-0.872,
115.384,1966.8,460.2,23.398,0.095,-1.582,
117.647,1946.4,417.8,21.465,-1.838,-1.834,
119.909,1958.6,570.8,29.143,5.84,-1.913,
122.172,1997.4,457.8,22.92,-0.383,-2.728,
124.434,2239.2,436.6,19.498,-3.805,-2.942,
126.697,2286.8,462.6,20.229,-3.074,-2.819,
128.959,2292,358.4,15.637,-7.666,-2.756,
131.222,2286.6,454.6,19.881,-3.422,-2.246,
133.484,2142.2,625.8,29.213,5.91,-2.135,
135.746,2230.4,442.4,19.835,-3.468,-2.901,
138.009,2197.2,435,19.798,-3.505,-2.749,
140.271,2067.8,403.8,19.528,-3.775,-2.571,
142.534,2126,540.6,25.428,2.125,-2.346,
144.796,2546,353.4,13.881,-9.422,-2.659,
147.059,2332.2,250.6,10.745,-12.558,-1.847,
149.321,2409.4,497.4,20.644,-2.659,-0.726,
151.584,2238.8,609,27.202,3.899,-0.55,
153.846,2170.6,464.4,21.395,-1.908,-0.993,
156.108,2113.2,453.4,21.456,-1.847,-0.869,
158.371,1999.4,346.4,17.325,-5.978,-0.734,
160.633,1878.8,506.2,26.943,3.64,-0.189,
162.896,2214.4,596.2,26.924,3.621,-0.542,
165.158,2355,644.2,27.355,4.052,-0.862,
167.421,2446,658,26.901,3.598,-1.179,
169.683,2273.2,276,12.141,-11.161,-1.403,
171.945,2314.8,380,16.416,-6.887,-0.169,
174.208,2481.8,561,22.605,-0.698,0.687,
176.47,2200,488,22.182,-1.121,0.973,
178.733,2542.2,317.6,12.493,-10.81,1.314,
180.995,2264,416.4,18.392,-4.911,2.579,
183.258,2408,692.4,28.754,5.451,3.26,
185.52,2151.4,682.2,31.71,8.407,2.923,
187.783,2758.6,637.6,23.113,-0.19,2.28,
190.045,2298.6,521.2,22.675,-0.628,2.434,
192.307,2536,627,24.724,1.421,2.6,
194.57,2065.8,825.2,39.946,16.643,2.539,
196.832,2488.6,538.2,21.627,-1.676,1.004,
199.095,2076.6,720.6,34.701,11.398,1.208,
201.357,2435,460.2,18.899,-4.404,0.159,
203.62,2084,463.2,22.226,-1.076,0.622,
205.882,2001,590.2,29.495,6.192,0.765,
208.145,2251.4,464.8,20.645,-2.658,0.216,
210.407,2332.6,640,27.437,4.134,0.517,
