Time,R,G,G/R,dG/R,dG/R
ms,AFU,AFU,%,%,%
LineScan-03142018-1454-2042,,,,,filtered
0,1456.429,1069,73.399,-9.467,,
3.976,1353.714,1227.571,90.682,7.816,,
7.952,1500,1081.429,72.095,-10.771,,
11.928,1528.286,1242,81.268,-1.598,,
15.904,1455.286,1018.429,69.981,-12.885,,
19.88,1486.857,1151.571,77.45,-5.416,,
23.856,1430.429,1129.571,78.967,-3.899,,
27.832,1424.286,1044.286,73.32,-9.546,,
31.808,1468.857,1158.714,78.885,-3.981,,
35.784,1281.143,1122.857,87.645,4.779,,
39.76,1495.429,962.143,64.339,-18.527,,
43.736,1345.429,1195.857,88.883,6.017,,
47.712,1423.429,1176.857,82.678,-0.188,,
51.688,1424.143,1130.143,79.356,-3.51,,
55.664,1455.571,1116.143,76.681,-6.185,,
59.641,1439.143,1215.286,84.445,1.579,,
63.617,1569.286,1051,66.973,-15.893,,
67.593,1445.857,1199,82.927,0.061,,
71.569,1483,1033.286,69.675,-13.191,,
75.545,1464,1305.714,89.188,6.322,,
79.521,1422.571,1289.286,90.631,7.765,,
83.497,1449.571,1087.857,75.047,-7.819,,
87.473,1422.143,1198.714,84.289,1.423,,
91.449,1363.286,1155.143,84.732,1.866,,
95.425,1431.143,1119.714,78.239,-4.627,,
99.401,1377.429,1140.571,82.804,-0.062,,
103.377,1381.571,1141.429,82.618,-0.248,,
107.353,1316.857,1072.429,81.438,-1.427,,
111.329,1392.714,1187,85.229,2.363,,
115.305,1459.714,1211.286,82.981,0.115,,
119.281,1289.571,1138,88.246,5.38,,
123.257,1416.286,1140.286,80.512,-2.354,,
127.233,1341.143,1231,91.787,8.921,,
131.209,1319.286,1196.143,90.666,7.8,,
135.185,1405.571,1066.143,75.851,-7.015,,
139.161,1376.143,1130.857,82.176,-0.69,,
143.137,1462.571,1149.429,78.59,-4.276,,
147.113,1377.143,1156.571,83.983,1.117,,
151.089,1416.143,1164.429,82.225,-0.641,,
155.065,1428.143,1154,80.804,-2.062,,
159.041,1395.857,1216.714,87.166,4.3,,
163.017,1411.143,1200.714,85.088,2.222,-1.736,
166.993,1404.286,1105,78.688,-4.178,-2.133,
170.97,1431,1070,74.773,-8.093,-1.82,
174.946,1418.286,1096.857,77.337,-5.529,-1.082,
178.922,1361.143,1211.857,89.032,6.166,-0.642,
182.898,1368.857,1137.286,83.083,0.217,-1.497,
186.874,1397.571,1076.714,77.042,-5.824,-1.706,
190.85,1337.571,1082.857,80.957,-1.909,-1.263,
194.826,1398,1168.429,83.579,0.713,-1.262,
198.802,1449.857,1269.429,87.555,4.689,-1.557,
202.778,1416.571,1117.143,78.862,-4.004,-2.286,
206.754,1360.143,1098.429,80.758,-2.108,-2.054,
210.73,1471.429,1111.286,75.524,-7.342,-2.019,
214.706,1326.143,1217.571,91.813,8.947,-1.408,
218.682,1379.143,1078.143,78.175,-4.691,-2.564,
222.658,1483.286,1120,75.508,-7.358,-2.202,
226.634,1343.714,1120.429,83.383,0.517,-1.53,
230.61,1392.857,1076.143,77.262,-5.604,-1.703,
234.586,1462.571,1128.286,77.144,-5.722,-1.189,
238.562,1416,1086.286,76.715,-6.151,-0.652,
242.538,1361.143,1365.429,100.315,17.449,-0.062,
246.514,1416.714,1164.429,82.192,-0.674,-2.027,
250.49,1390.857,1056.143,75.935,-6.931,-1.955,
254.466,1396.429,963.857,69.023,-13.843,-1.143,
258.442,1382.714,1181.857,85.474,2.608,0.459,
262.418,1378,1029.571,74.715,-8.151,0.29,
266.394,1361.857,1282.571,94.178,11.312,1.324,
270.37,1435.857,1219.714,84.947,2.081,0.263,
274.346,1350.143,1047.714,77.6,-5.266,0.262,
278.322,1326.429,1143.857,86.236,3.37,1.113,
282.299,1394.429,1041.571,74.695,-8.171,1.061,
286.275,1402.714,1122.143,79.998,-2.868,2.3,
290.251,1327.429,1054,79.402,-3.464,2.965,
294.227,1293.571,1114.857,86.184,3.318,3.68,
298.203,1293.714,1227.857,94.909,12.043,3.626,
302.179,1416.429,1238.857,87.463,4.597,2.594,
306.155,1440.143,1083.286,75.221,-7.645,2.357,
310.131,1316.857,1131.714,85.941,3.075,3.421,
314.107,1381,1168,84.576,1.71,3.254,
318.083,1383.429,1343.429,97.109,14.243,3.172,
322.059,1446.143,1170.714,80.954,-1.912,1.661,
326.035,1456.286,1271.714,87.326,4.46,1.87,
330.011,1368.286,1290.857,94.341,11.475,1.332,
333.987,1330.714,1123.429,84.423,1.557,-0.005,
337.963,1333,1230.286,92.295,9.429,-0.271,
341.939,1475.571,1013.714,68.7,-14.166,-1.395,
345.915,1303.143,1189.571,91.285,8.419,0.064,
