Time,R,G,G/R,dG/R,dG/R
ms,AFU,AFU,%,%,%
LineScan-02052019-1234-2683,,,,,filtered
3055.422,1524.5,1894.167,124.248,18.182,15.486,
3059.989,1616,1750.667,108.333,2.267,15.126,
3064.556,1505,1926.667,128.018,21.951,16.493,
3069.123,1675.5,2108.667,125.853,19.786,15.693,
3073.69,1589.667,2375.333,149.423,43.357,15.141,
3078.258,1553.167,1705,109.776,3.709,12.07,
3082.825,1639,1950.167,118.985,12.919,13.422,
3087.392,1732.333,1825.833,105.397,-0.669,13.84,
3091.959,1646,1825,110.875,4.808,15.795,
3096.526,1607.667,1969.167,122.486,16.419,17.162,
3101.093,1546.167,1946.833,125.914,19.847,17.252,
3105.66,1550.833,1885.833,121.601,15.535,16.957,
3110.228,1593,1786.167,112.126,6.059,17.118,
3114.795,1560.167,1964.333,125.905,19.839,18.278,
3119.362,1496.333,1976.5,132.09,26.023,17.879,
3123.929,1590,1943.667,122.243,16.177,16.76,
3128.496,1539.333,1928.667,125.292,19.226,16.682,
3133.063,1531.167,1976,129.052,22.985,16.238,
3137.63,1621.333,1919.667,118.4,12.334,15.359,
3142.198,1534.833,1965.667,128.07,22.004,15.629,
3146.765,1589,1874.833,117.988,11.922,14.828,
3151.332,1602,2085.167,130.16,24.094,15.126,
3155.899,1566,1617,103.257,-2.81,14.097,
3160.466,1516.667,1956,128.967,22.9,16.01,
3165.033,1448.5,2053,141.733,35.666,15.103,
3169.601,1608.667,1785.5,110.993,4.926,12.833,
3174.168,1627.833,1806.333,110.965,4.899,13.976,
3178.735,1623,1940.667,119.573,13.506,15.154,
3183.302,1534.5,1913.5,124.699,18.632,15.412,
3187.869,1508.333,1852.667,122.829,16.762,15.135,
3192.436,1533.667,1821.667,118.779,12.712,15.097,
3197.003,1590,1732.333,108.952,2.885,15.536,
3201.571,1602.333,2002.667,124.984,18.918,17.068,
3206.138,1527.667,1826.833,119.583,13.517,16.854,
3210.705,1608,1932.167,120.16,14.093,17.241,
3215.272,1402.333,1981.167,141.276,35.21,17.571,
3219.839,1546.833,1856,119.987,13.92,15.618,
3224.406,1578.167,2000.5,126.761,20.694,16.04,
3228.973,1630.333,1793.667,110.018,3.952,15.761,
3233.541,1586,1579.5,99.59,-6.476,17.338,
3238.108,1564,2115.5,135.262,29.196,20.024,
3242.675,1527.5,1925.667,126.067,20,18.752,
3247.242,1591,1999,125.644,19.578,18.438,
3251.809,1541.5,1925.833,124.932,18.866,18.118,
3256.376,1501,1964.667,130.891,24.824,17.823,
3260.943,1657.833,2078.833,125.395,19.328,16.831,
3265.511,1603.667,2010.667,125.379,19.313,16.404,
3270.078,1646.333,1895.167,115.114,9.048,15.952,
3274.645,1485.167,1758.167,118.382,12.315,16.594,
3279.212,1436,1964.667,136.815,30.749,16.844,
3283.779,1537,2148.667,139.796,33.73,15.067,
3288.346,1590.667,1805.5,113.506,7.439,13.008,
3292.914,1569.833,2010.833,128.092,22.026,13.894,
