Time, R, G, dG, f(dG), G/R, dG/R, f(dG/R), 
333.067, 1676.2, 713.4, 166.088, 296.524, 42.561, 15.594, 18.708, 
335.429, 1810, 786.2, 238.888, 317.523, 43.436, 16.47, 19.283, 
337.792, 1662.4, 999.6, 452.288, 299.048, 60.13, 33.163, 16.607, 
340.154, 2000.2, 579, 31.688, 374.337, 28.947, 1.981, 20.857, 
342.516, 1929.4, 868, 320.688, 389.018, 44.988, 18.022, 21.801, 
344.878, 2044.4, 830.2, 282.888, 410.553, 40.608, 13.642, 23.631, 
347.24, 1978.2, 1226.4, 679.088, 347.477, 61.996, 35.029, 20.849, 
349.603, 1752.8, 829, 281.688, 367.39, 47.296, 20.329, 21.091, 
351.965, 1891.6, 682, 134.688, 409.532, 36.054, 9.088, 23.291, 
354.327, 1796, 802.6, 255.288, 409.914, 44.688, 17.722, 22.914, 
356.689, 1991.2, 1372, 824.688, 275.705, 68.903, 41.937, 16.795, 
359.051, 1952.4, 1308.6, 761.288, 151.634, 67.025, 40.059, 10.966, 
361.413, 1733, 580.8, 33.488, 182.673, 33.514, 6.548, 12.328, 
363.776, 2202.6, 588.8, 41.488, 209.841, 26.732, -0.234, 14.994, 
366.138, 1873, 938.6, 391.288, 161.913, 50.112, 23.146, 12.539, 
368.5, 1617.2, 871.6, 324.288, 131.639, 53.896, 26.929, 9.388, 
370.862, 1986, 481.4, -65.912, 186.479, 24.24, -2.727, 12.619, 
373.224, 1860.4, 627.2, 79.888, 207.94, 33.713, 6.747, 13.658, 
375.587, 1723.4, 892.2, 344.888, 169.606, 51.77, 24.803, 10.668, 
377.949, 1946.4, 553.6, 6.288, 197.961, 28.442, 1.476, 12.378, 
380.311, 1924.2, 934.2, 386.888, 139.77, 48.55, 21.584, 9.499, 
382.673, 1944.2, 758.4, 211.088, 115.815, 39.008, 12.042, 8.425, 
385.035, 1904.2, 635.6, 88.288, 115.788, 33.379, 6.412, 8.356, 
387.397, 1798.4, 837, 289.688, 73.8, 46.541, 19.575, 5.507, 
389.76, 1741, 536.4, -10.912, 99.329, 30.81, 3.843, 6.267, 
392.122, 1846.4, 742.2, 194.888, 86.999, 40.197, 13.231, 5.508, 
394.484, 2233, 606.2, 58.888, 111.462, 27.147, 0.181, 8.099, 
396.846, 2085.2, 483.6, -63.712, 167.752, 23.192, -3.774, 11.916, 
399.208, 1946.8, 618.4, 71.088, 197.345, 31.765, 4.799, 14.018, 
401.57, 1855.2, 665, 117.688, 215.473, 35.845, 8.879, 15.107, 
403.933, 1789.8, 777, 229.688, 205.664, 43.413, 16.446, 14.26, 
406.295, 1888.8, 675.8, 128.488, , 35.779, 8.813, , 
408.657, 1711, 811.4, 264.088, , 47.423, 20.456, , 
411.019, 1761.4, 1018.8, 471.488, , 57.84, 30.874, , 
413.381, 1914, 658.6, 111.288, , 34.41, 7.443, , 
415.744, 1855.4, 612.4, 65.088, , 33.006, 6.04, , 
418.106, 2054, 660.2, 112.888, , 32.142, 5.176, , 
420.468, 1831.2, 679.2, 131.888, , 37.09, 10.124, , 
422.83, 2058.2, 672.8, 125.488, , 32.689, 5.722, , 
425.192, 2014.2, 553.4, 6.088, , 27.475, 0.508, , 
427.554, 1793, 713.8, 166.488, , 39.81, 12.844, , 
429.917, 1886.4, 544.6, -2.712, , 28.87, 1.903, , 
432.279, 2133.4, 1019, 471.688, , 47.764, 20.798, , 
434.641, 1710.6, 711.2, 163.888, , 41.576, 14.61, , 
437.003, 1796.4, 712.4, 165.088, , 39.657, 12.691, , 
439.365, 1806.6, 763.4, 216.088, , 42.256, 15.29, , 
441.728, 1792.8, 588.4, 41.088, , 32.82, 5.854, , 
444.09, 1780.6, 705.4, 158.088, , 39.616, 12.649, , 
446.452, 1846.2, 433.8, -113.512, , 23.497, -3.47, , 
448.814, 1790.4, 645.2, 97.888, , 36.037, 9.07, , 
451.176, 1939.4, 605.8, 58.488, , 31.236, 4.27, , 
453.538, 1556.8, 308.2, -239.112, , 19.797, -7.169, , 
455.901, 1956.2, 584.4, 37.088, , 29.874, 2.908, , 
458.263, 1829.4, 1018, 470.688, , 55.647, 28.68, , 
460.625, 2024.8, 783.8, 236.488, , 38.71, 11.744, , 
462.987, 1981.2, 606.2, 58.888, , 30.598, 3.631, , 
465.349, 1895.4, 715.8, 168.488, , 37.765, 10.799, , 
467.712, 1832, 315, -232.312, , 17.194, -9.772, , 
470.074, 1640, 698.2, 150.888, , 42.573, 15.607, , 
472.436, 1861, 732.2, 184.888, , 39.344, 12.378, , 
474.798, 1829.8, 620.8, 73.488, , 33.927, 6.961, , 
477.16, 1907.4, 490.6, -56.712, , 25.721, -1.246, , 
479.522, 1806.8, 599.4, 52.088, , 33.175, 6.208, , 
481.885, 1911.6, 571.6, 24.288, , 29.902, 2.935, , 
484.247, 1503.4, 676.4, 129.088, , 44.991, 18.025, , 
486.609, 1792, 316.2, -231.112, , 17.645, -9.321, , 
488.971, 1846.6, 807.8, 260.488, , 43.745, 16.779, , 
491.333, 2030.6, 651.8, 104.488, , 32.099, 5.132, , 
493.695, 1868, 499.2, -48.112, , 26.724, -0.243, , 
496.058, 1604.4, 745.8, 198.488, , 46.485, 19.518, , 
