Time, R, G, dG, f(dG), G/R, dG/R, f(dG/R), 
ms, AFU, AFU, AFU, AFU, %, %, AFU, 
LineScan-03292014-1525-552, , , , filtered, , , filtered, 
0, 2253.8, 439.4, -107.912, , 19.496, -7.47, , 
2.362, 2018, 592.8, 45.488, , 29.376, 2.409, , 
4.724, 2298, 612.6, 65.288, , 26.658, -0.308, , 
7.087, 2213.4, 523.4, -23.912, , 23.647, -3.32, , 
9.449, 2166.4, 477.2, -70.112, , 22.027, -4.939, , 
11.811, 2355.4, 323.6, -223.712, , 13.739, -13.228, , 
14.173, 2162.6, 464.2, -83.112, , 21.465, -5.502, , 
16.535, 2291.6, 521, -26.312, , 22.735, -4.231, , 
18.897, 1930, 577.4, 30.088, , 29.917, 2.951, , 
21.26, 2184.4, 528.4, -18.912, , 24.19, -2.777, , 
23.622, 2242.8, 364.6, -182.712, , 16.256, -10.71, , 
25.984, 1945, 504.8, -42.512, , 25.954, -1.013, , 
28.346, 2005, 590.4, 43.088, , 29.446, 2.48, , 
30.708, 2182.6, 678.4, 131.088, , 31.082, 4.116, , 
33.071, 2096.8, 487.2, -60.112, , 23.235, -3.731, , 
35.433, 1996, 378.4, -168.912, , 18.958, -8.009, , 
37.795, 1872, 415.8, -131.512, , 22.212, -4.755, , 
40.157, 1842.2, 848.6, 301.288, , 46.064, 19.098, , 
42.519, 2114.8, 699, 151.688, , 33.053, 6.086, , 
44.881, 2002.4, 352.6, -194.712, , 17.609, -9.358, , 
47.244, 1940.8, 636, 88.688, 71.086, 32.77, 5.804, 3.05, 
49.606, 1809.8, 969.8, 422.488, -29.822, 53.586, 26.62, -3.442, 
51.968, 2391.8, 738.6, 191.288, -81.265, 30.881, 3.914, -5.069, 
54.33, 2038, 273.6, -273.712, -33.515, 13.425, -13.542, -2.966, 
56.692, 2071.6, 551.6, 4.288, -46.111, 26.627, -0.34, -3.71, 
59.054, 2343, 531.8, -15.512, -54.833, 22.697, -4.269, -3.623, 
61.417, 2102.2, 562.8, 15.488, -69.216, 26.772, -0.194, -4.351, 
63.779, 1968, 381.2, -166.112, -44.416, 19.37, -7.597, -3.435, 
66.141, 2075.6, 506.2, -41.112, -46.431, 24.388, -2.578, -3.516, 
68.503, 2281.6, 502, -45.312, -47.484, 22.002, -4.964, -3.012, 
70.865, 2373.6, 642, 94.688, -76.663, 27.048, 0.081, -3.486, 
73.228, 1778.8, 265.2, -282.112, -25.465, 14.909, -12.058, -1.369, 
75.59, 1953.4, 525.2, -22.112, -31.687, 26.886, -0.08, -1.871, 
77.952, 2102.8, 610.6, 63.288, -57.145, 29.037, 2.071, -2.849, 
80.314, 2213.2, 516.2, -31.112, -62.203, 23.324, -3.643, -2.597, 
82.676, 1969.2, 384.6, -162.712, -39.209, 19.531, -7.436, -1.55, 
85.038, 1878.6, 602.4, 55.088, -60.977, 32.066, 5.1, -3.074, 
87.401, 2147.4, 457, -90.312, -47.6, 21.282, -5.685, -2.062, 
89.763, 2076.8, 554.2, 6.888, -48.251, 26.685, -0.281, -1.847, 
92.125, 1830.2, 503.4, -43.912, -29.688, 27.505, 0.539, -1.346, 
94.487, 2359, 297.2, -250.112, 38.642, 12.599, -14.368, 2.654, 
96.849, 2124.8, 367.4, -179.912, 92.674, 17.291, -9.675, 5.676, 
99.212, 1966, 785.2, 237.888, 57.097, 39.939, 12.973, 3.811, 
101.574, 1869.2, 496.2, -51.112, 81.095, 26.546, -0.42, 4.676, 
103.936, 1973, 641, 93.688, 69.675, 32.489, 5.522, 4.028, 
106.298, 1982, 712.8, 165.488, 37.42, 35.964, 8.997, 2.337, 
108.66, 2063, 480, -67.312, 47.005, 23.267, -3.699, 2.921, 
111.022, 1936.4, 748.8, 201.488, -8.325, 38.67, 11.703, -0.197, 
113.385, 2022, 651, 103.688, -47.248, 32.196, 5.229, -2.174, 
115.747, 1857.6, 606.4, 59.088, -77.128, 32.644, 5.678, -4.236, 
118.109, 2110.4, 619.6, 72.288, -105.65, 29.359, 2.393, -5.323, 
120.471, 2042.4, 384.6, -162.712, -77.944, 18.831, -8.136, -3.787, 
122.833, 2222.4, 367.4, -179.912, -41.658, 16.532, -10.435, -1.464, 
125.196, 2165.2, 383, -164.312, -6.344, 17.689, -9.278, 0.738, 
127.558, 1868.4, 496.6, -50.712, 5.11, 26.579, -0.388, 1.049, 
129.92, 2153.6, 604, 56.688, -6.209, 28.046, 1.08, 1.002, 
132.282, 1883.6, 451.6, -95.712, 14.19, 23.975, -2.991, 1.708, 
134.644, 1723.6, 565.8, 18.488, 9.089, 32.827, 5.86, 0.438, 
137.006, 2111.6, 594.8, 47.488, -1.73, 28.168, 1.202, 0.164, 
139.369, 2021.2, 699.2, 151.888, -30.344, 34.593, 7.627, -1.308, 
141.731, 1873.2, 339.2, -208.112, 23.97, 18.108, -8.858, 0.982, 
144.093, 2130.2, 551, 3.688, 41.234, 25.866, -1.1, 1.94, 
146.455, 1960.8, 631.8, 84.488, 54.458, 32.222, 5.255, 2.122, 
148.817, 2001.2, 495.2, -52.112, 114.795, 24.745, -2.221, 4.758, 
151.179, 1789.4, 349.8, -197.512, 225.803, 19.548, -7.418, 9.542, 
153.542, 2142, 894.6, 347.288, 244.991, 41.765, 14.798, 10.944, 
155.904, 2341.2, 391.8, -155.512, 396.271, 16.735, -10.231, 19.114, 
158.266, 2016.8, 612.2, 64.888, 520.787, 30.355, 3.389, 25.636, 
160.628, 2452.6, 668.6, 121.288, 647.136, 27.261, 0.294, 33.73, 
162.99, 2009.8, 1031.6, 484.288, 705.462, 51.328, 24.362, 37.31, 
165.353, 1938.2, 1153.2, 605.888, 745.116, 59.499, 32.532, 39.578, 
167.715, 2354.4, 1252.2, 704.888, 769.474, 53.186, 26.219, 43.316, 
170.077, 1852.6, 1109, 561.688, 826.616, 59.862, 32.895, 45.402, 
172.439, 1684, 1251.4, 704.088, 851.674, 74.311, 47.345, 44.05, 
174.801, 1911.4, 1445.4, 898.088, 832.532, 75.62, 48.654, 42.137, 
177.163, 1807, 1644, 1096.688, 770.571, 90.98, 64.013, 36.974, 
179.526, 2075.6, 1213.2, 665.888, 798.677, 58.451, 31.484, 38.837, 
181.888, 2282.6, 1017.4, 470.088, 859.92, 44.572, 17.606, 43.42, 
184.25, 1987.4, 1618.8, 1071.488, 783.924, 81.453, 54.487, 39.921, 
186.612, 2171.4, 1576.8, 1029.488, 714.713, 72.617, 45.65, 38.454, 
188.974, 1796.2, 1424.2, 876.888, 683.155, 79.29, 52.323, 36.177, 
191.337, 2082.4, 1371.6, 824.288, 673.051, 65.866, 38.9, 37.656, 
193.699, 2240.8, 908, 360.688, 769.595, 40.521, 13.555, 45.117, 
196.061, 2020.4, 1090.2, 542.888, 828.78, 53.96, 26.993, 49.699, 
198.423, 1859.2, 1310.4, 763.088, 838.842, 70.482, 43.515, 50.326, 
200.785, 1839.4, 1461.4, 914.088, 814.572, 79.45, 52.483, 48.462, 
203.147, 1564.4, 1470, 922.688, 787.805, 93.966, 66.999, 43.103, 
205.51, 1874, 1352.8, 805.488, 784.893, 72.188, 45.221, 42.116, 
207.872, 1735.2, 1268.4, 721.088, 795.237, 73.098, 46.132, 40.664, 
210.234, 1853.6, 1187.4, 640.088, 812.281, 64.059, 37.093, 40.783, 
212.596, 1994, 1542.2, 994.888, 741.173, 77.342, 50.376, 37.738, 
214.958, 2109.2, 1362.4, 815.088, 696.604, 64.593, 37.627, 37.105, 
217.321, 2102.6, 1656.8, 1109.488, 581.851, 78.798, 51.831, 33.239, 
219.683, 2086.8, 1065.2, 517.888, 587.003, 51.045, 24.078, 34.993, 
222.045, 1816.8, 1195.2, 647.888, 556.839, 65.786, 38.82, 33.179, 
224.407, 1898.6, 1170.6, 623.288, 524.18, 61.656, 34.69, 31.804, 
226.769, 1696, 1173, 625.688, 484.368, 69.163, 42.196, 28.508, 
229.131, 1809.2, 1191.6, 644.288, 436.381, 65.863, 38.897, 25.781, 
231.494, 2112.8, 1050.8, 503.488, 415.905, 49.735, 22.769, 26.347, 
233.856, 1789.8, 992, 444.688, 405.603, 55.425, 28.459, 25.445, 
236.218, 1873, 879.6, 332.288, 415.529, 46.962, 19.996, 25.934, 
238.58, 1739.6, 1013.8, 466.488, 392.944, 58.278, 31.311, 23.565, 
240.942, 1749.2, 1121.4, 574.088, 346.319, 64.109, 37.143, 19.713, 
243.304, 1850, 797.2, 249.888, 368.292, 43.092, 16.125, 20.207, 
245.667, 1761.2, 1102.2, 554.888, 325.602, 62.582, 35.616, 16.583, 
248.029, 2033.4, 749.6, 202.288, 356.959, 36.864, 9.898, 18.489, 
250.391, 2018.4, 764.6, 217.288, 379.696, 37.881, 10.915, 20.021, 
252.753, 1951.4, 1048.2, 500.888, 335.925, 53.715, 26.749, 17.977, 
255.115, 2403, 987.2, 439.888, 301.879, 41.082, 14.116, 18.432, 
257.478, 1716.6, 901, 353.688, 286.282, 52.487, 25.521, 16.382, 
259.84, 1949.8, 966, 418.688, 261.372, 49.544, 22.577, 15.131, 
262.202, 1980.6, 778.6, 231.288, 283.994, 39.311, 12.345, 16.393, 
264.564, 1692.6, 806, 258.688, 309.19, 47.619, 20.653, 16.365, 
266.926, 2140.8, 569, 21.688, 390.025, 26.579, -0.388, 21.23, 
269.288, 1845.6, 1033.8, 486.488, 375.029, 56.014, 29.048, 20.216, 
271.651, 2175.8, 798.6, 251.288, 411.341, 36.704, 9.737, 23.618, 
274.013, 1948.6, 697.8, 150.488, 465.054, 35.81, 8.844, 27.173, 
276.375, 2096.4, 1222.6, 675.288, 402.743, 58.319, 31.353, 25.736, 
278.737, 1894.6, 1067.6, 520.288, 372.875, 56.35, 29.383, 24.547, 
281.099, 1856.2, 888.2, 340.888, 382.008, 47.85, 20.884, 24.967, 
283.462, 1612.6, 904.4, 357.088, 388.402, 56.083, 29.117, 23.461, 
285.824, 1699.4, 1068.4, 521.088, 361.9, 62.869, 35.903, 20.538, 
288.186, 1835.6, 785, 237.688, 396.81, 42.765, 15.799, 21.977, 
290.548, 2011.4, 773, 225.688, 431.231, 38.431, 11.465, 24.242, 
292.91, 1843, 1204.2, 656.888, 370.77, 65.339, 38.373, 20.731, 
295.272, 2074.8, 838.4, 291.088, 385.116, 40.409, 13.442, 22.495, 
297.635, 1885, 992.4, 445.088, 362.519, 52.647, 25.681, 21.549, 
299.997, 1897.4, 881, 333.688, 359.152, 46.432, 19.466, 21.775, 
302.359, 2048.8, 1052.6, 505.288, 316.669, 51.376, 24.41, 20.786, 
304.721, 1784.6, 873, 325.688, 312.699, 48.919, 21.952, 20.212, 
307.083, 2001.2, 900, 352.688, 305.783, 44.973, 18.007, 20.436, 
309.445, 1620.4, 1003.4, 456.088, 283.087, 61.923, 34.957, 17.257, 
311.808, 1728.6, 655, 107.688, 339.805, 37.892, 10.925, 19.511, 
314.17, 1689, 872.8, 325.488, 351.294, 51.676, 24.709, 19.1, 
316.532, 2298.8, 591, 43.688, 416.946, 25.709, -1.257, 24.163, 
318.894, 2159.4, 968, 420.688, 391.407, 44.827, 17.861, 24.721, 
321.256, 1854.2, 1127.4, 580.088, 322.82, 60.803, 33.836, 21.444, 
323.619, 1869.4, 1144.4, 597.088, 247.618, 61.218, 34.251, 17.899, 
325.981, 1922, 868.2, 320.888, 233.288, 45.172, 18.205, 17.753, 
328.343, 1554.6, 778.4, 231.088, 242.334, 50.071, 23.104, 16.646, 
330.705, 1911.4, 741.4, 194.088, 264.185, 38.788, 11.822, 18.043, 
